amount,benefit,description_1,description_2,format,link,name,price,property_1,property_2,property_3,property_4,property_5,raters,rating,temperature,time
"2,5g/250ml",hierba,"satisface tu sabrosa sensibilidad con un toque de oro. nuestro golden turmeric chai presenta curcuma terrosa con el calido picante del jengibre, y esta suavemente endulzado con una mezcla de canela, clavo y un toque de hinojo. termina con una ligera patada fogosa de pimienta negra.  la porcion sugerida es una cucharadita por taza de agua o leche de preferencia para un latte de leche dorada!","curcuma, jengibre, clavo, canela, hinojo, pimienta negra y sabor natural a canela picante.",85 gramos,https://adagio.cl/products/golden-turmeric-chai,golden turmeric chai,Agotado,antioxidante,digestion,sin-cafeina,,,1,5,100 celsius,5-10 min
"2,5g/250ml",oolong,"el te oolong pouchong, proveniente de taiwan es una variedad mas suave que los oolong tradicionales y tiene un leve parecido al te verde dada su baja oxidacion. nuestro blend con coco deshidratado, es rico en antioxidantes y ayuda a bajar el colesterol malo. esta variedad de te oolong tiene notas de miel y flores, y se combina a la perfeccion con el sabor tropical del coco. el resultado es tranquilizante, suave y armonico.","te oolong pouchong, coco deshidratado y esencia natural de coco.",43 gramos,https://adagio.cl/products/oolong-coco-pouchong,oolong coco pouchong,Agotado,antioxidante,,,,,4,5,90 celsius,3-5 min
,matcha,"el matcha negro se muele con hojas de te negro a baja temperatura. cuanto mas fino sea el polvo de matcha negro, mejor sera el sabor. el polvo de te negro no solo mantiene los ingredientes nutricionales originales, el aroma, el color y la textura del te negro, sino que tambien hace que los nutrientes sean absorbidos mas facilmente por el cuerpo.",te negro golden monkey.,35 gramos,https://adagio.cl/products/matcha-te-negro,matcha te negro,Agotado,antioxidante,digestion,energizante,,,1,5,,
"2,5g/250ml",oolong,"este legendario te oolong originario de la provincia de fujian en china, ha sido nombrado tras la diosa de la misericordia, guan yin y conserva todas las propiedades antioxidantes, digestivas, depurativas y energizantes de un te oolong de baja oxidacion. para su produccion, se deben cumplir mas de una decena de pasos, que le otorgan finalmente un sabor calido, suave, floral y levemente astringente.","te oolong chino de baja oxidacion, de la region de fujian.",85 gramos,https://adagio.cl/products/ti-kuan-yin,ti kuan yin,12990,antioxidante,digestion,energizante,,,7,4.9,90 celsius,2-3 min
"2,5g/250ml",rooibos,"los sabores citricos de limon y naranja combinados con el cuerpo ligero del rooibos verdes lo llevaran a los naranjos y limoneros. genial, caliente o con hielo, esta mezcla naturalmente jugosa y estimulante sin cafeina aportara un rayo de sol a tu taza.","rooibos verde, cascara de naranja, flor de calendula, trozos de mango y durazno, esencia natural de naranja y limon.",85 gramos,https://adagio.cl/products/rooibos-citrico,rooibos verde citrico,Agotado,relajante,sin-cafeina,,,,3,4.3,100 celsius,5 min
"2,5g/250ml",oolong,"este te es de color verde, dada su baja oxidacion. proviene de la region de ali shan, una de las zonas productoras de te mas famosas de taiwan y es producido artesanalmente. se cultiva en lo alto de las montanas cubiertas de neblina y en donde adquiere un sabor suave y floral.","te oolong puro de baja oxidacion, proveniente de la ali shan, taiwan.",85 gramos,https://adagio.cl/products/ali-shan,ali shan,19990,antioxidante,energizante,,,,5,5,90 celsius,2-3 min
"2,5g/250ml",rooibos,"una mezcla de rooibos sudafricado organico, con naranja y bergamota, ultra antioxidante, con propiedades diureticas y digestivas. esta infusion es libre de cafeina, tiene un sabor fresco y suave, ligeramente citrico y aromatico.","rooibos, naranja, aciano azul y esencia natural de bergamota.",85 gramos,https://adagio.cl/products/rooibos-earl-grey,rooibos earl grey,5990,relajante,sin-cafeina,,,,6,4.8,100 celsius,5 min
"2,5g/250ml",rooibos,"de nuestras infusiones mas populares, la mezcla de rooibos verde con cascara de naranja, y esencia de durazno y frutillas, es alto en antioxidantes y tambien es una excelente infusion digestiva, que ayuda a favorecer la eliminacion de grasas. su sabor frutal es ideal para disfrutar en cualquier momento del dia.[/ingredientes][sabor]citrico durazno y frutilla[/sabor][aroma]frutal refrescante[/aroma][tiempo]5 min[/tiempo][temperatura]100 celsius[/temperatura][cantidad]2,5g/250ml[/cantidad][preparacion]infusionar a 100 celsiusc por 5 minutos.[/preparacion][pais][/pais][contenido]15 teabags piramidales.[/contenido][modouso][/modouso]",,15 piramides,https://adagio.cl/products/rooibos-verde-bonita-teabags,rooibos verde bonita teabags,Agotado,sin-cafeina,,,,,2,5,100 celsius,5 min
"2,5g/250ml",rooibos,"esta tranquilizante infusion de rooibos naturalmente sin cafeina, con propiedades antioxidantes, ayuda a regular los niveles de azucar en la sangre y a fortalecer el sistema inmune, con esencia natural de vainilla. sabrosa, suave y calida.",rooibos y esencia natural de vainilla,85 gramos,https://adagio.cl/products/rooibos-vainilla,rooibos vainilla,5990,relajante,sin-cafeina,,,,5,5,100 celsius,5 min
"2,5g/250ml",rooibos,"el rooibos, que significa 'arbusto rojo', es una hierba y no un te como comunmente se cree. proveniente de sudafrica, posee propiedades unicas. nuestro rooibos, con certificacion organica, es alto en polifenoles, potentes antioxidantes, y otros minerales que ayudan a regular los niveles de azucar en la sangre y a fortalecer el sistema inmune. dejate sorprender por esta hierba sin cafeina, de sabor dulce y suave, con una textura ligera y fresca.",rooibos puro proveniente de sudafrica.,85 gramos,https://adagio.cl/products/rooibos,rooibos,Agotado,relajante,sin-cafeina,,,,5,5,100 celsius,5 min
"2,5g/250ml",rooibos,"el rooibos verde no ha pasado por un proceso de oxidacion por lo que tiene mayores propiedades antioxidantes. por su parte los arandanos ayudan a mejorar la memoria y reforzadores del sistema inmune. esta infusion descafeinada, tiene un sabor fresco, ligeramente acido y con un dulzor suave que encanta a cualquiera.","rooibos verde, arandanos, esencia natural de arandanos, hojas de frambuesa, rosa mosqueta, hibisco, cranberries y aciano azul.",85 gramos,https://adagio.cl/products/rooibos-arandano,rooibos verde arandano,Agotado,antioxidante,digestion,relajante,sin-cafeina,,7,5,100 celsius,5 min
"2,5g/250ml",rooibos,"nada mas delicioso que un queque recien salido del horno, ese aroma que impregna cualquier lugar, exactamente asi es nuestro nut banana, que mezcla sabores tan reconfortantes como el cacao, platano y castana. es una infusion que no contiene azucar ni cafeina, asi que es perfecta para tomar a cualquier hora del dia. este te te ayudara a aliviar estres, mejorar el humor y disminuir los niveles de colesterol.*exlusivo online","honeybush, trozos de manzana, canela, granos de cacao, flor de calendula y sabor natural a platano y castana.",70 gramos,https://adagio.cl/products/nut-banana,nut banana,5990,relajante,sin-cafeina,,,,2,5,100 celsius,5 min
"2,5g/250ml",rooibos,"los exoticos sabores del clasico chai se mezclan con la delicadeza del rooibos y la vainilla para dar vida a una infusion full antioxidante, energizante y con propiedades diureticas y digestivas. atrevete a probar este blend que nos recuerda a los bazares de especias de medio oriente. naturalmente sin cafeina, ideal para cualquier momento.","rooibos, jengibre, canela, clavos de olor, cardamomo, naranja y esencia natural de vainilla",85 gramos,https://adagio.cl/products/rooibos-vainilla-chai,rooibos vainilla chai,5990,relajante,sin-cafeina,,,,9,4.8,100 celsius,5 min
"2,5g/250ml",rooibos,"rooibos verde, full antioxidante, con toques de mango y naranja, ayuda a fortalecer el sistema inmune, reducir los niveles de estres y favorecer la eliminacion de grasas. un punch tropical, sabroso y muy fresco. ideal para compartir caliente o como una bebida fria.","rooibos verde, manzanilla, cascara de naranja, trozos de mango y esencia natural de maracuya, mango y damasco",85 gramos,https://adagio.cl/products/rooibos-tropical,rooibos verde tropical,5990,relajante,sin-cafeina,,,,1,5,100 celsius,5 min
"2,5g/250ml",,"de nuestras infusiones mas populares, la mezcla de rooibos verde con cascara de naranja, y esencia de durazno y frutillas, es alto en antioxidantes y tambien es una excelente infusion digestiva, que ayuda a favorecer la eliminacion de grasas.su sabor frutal es ideal para disfrutar en cualquier momento del dia.","rooibos verde, cascara de naranja, flor de calendula, frutillas y esencias naturales de duraznos, frutilla y naranja.",15 teabags,https://adagio.cl/products/caja-15-teabags-rooibos-verde-bonita,caja 15 teabags rooibos verde bonita,Agotado,sin-cafeina,,,,,3,5,100 celsius,5 min
"2,5g/250ml",,"de cuerpo liviano con un ligero dulzor natural, el rooibos verde se acompana bien con una variedad de sabores. esta mezcla inspirada en los frutos del verano, reune el rooibos verde con el durazno, la frutilla y los citricos. esta variedad es perfecta para tomarla tanto caliente como helada, y no contiene cafeina.","rooibos verde, cascara de naranja, flor de calendula, frutillas y esencias naturales de duraznos, frutilla y naranja.",70 gramos,https://adagio.cl/products/rooibos-bonita-tarro,rooibos verde bonita tin,6990,sin-cafeina,,,,,2,5,100 celsius,5 min
"2,5g/250ml",rooibos,"el match perfecto: una infusion de roiboos con menta piperita y cacao. esta mezcla es particularmente relajante y posee propiedades digestivas. de sabor intenso, balancea perfectamente la frescura de la menta con la calidez del cacao.","rooibos, cacao, esencia natural de chocolate menta y hojas de menta piperita.",85 gramos,https://adagio.cl/products/rooibos-menta-chip,rooibos menta chip,5990,relajante,sin-cafeina,,,,1,5,100 celsius,5 min
"2,5g/250ml",oolong,"la calida mezcla de te oolong con la mezcla especiada clasica de un 'chai', es un deleite para tus sentidos. rico en antioxidantes, de propiedades digestivas, ayuda a nivelar el azucar en la sangre, reforzar el sistema inmune y acelerar el metabolismo, entre otros beneficios para la salud. su sabor especiado se balancea perfectamente con el dulzor del te oolong para una infusion con sabor y caracter.","te oolong, canela, jengibre, semillas de cacao, achicoria, cardamomo, esencia natural a canela, pimiento y clavo de olor.",85 gramos,https://adagio.cl/products/oolong-chai,oolong chai,5990,digestion,,,,,3,5,100 celsius,5 min
"2,5g/250ml",oolong,"nuestro blackberry sage oolong es una mezcla encantadora inspirada en los sabores del bosque. con sus sabores audaces y terrosos de bayas y hierbas, es un te de base con un caracter complejo.","te oolong, salvia, hojas de frambuesa, sabor natural a mora y frambuesas.",57 gramos,https://adagio.cl/products/oolong-mora,oolong salvia mora,5990,digestion,,,,,1,2,100 celsius,3-5 min
"2,5g/250ml",rooibos,"un desayuno diferente y rico, asi definimos nuestro blueberry pancake, que combina sabores tan dulces como el arandano, vainilla, maple y rosa mosqueta. es como comerte un esponjoso y dulce pancake.  una experiencia deliciosa y beneficiosa! ayuda a mejorar el sistema inmunologico, es antioxidante y antiinflamatorio. *exlusivo online","honeybush, rosa mosqueta, trozos de manzana, arandanos, aciano azul, sabor a maple(o arce) y sabor natural a arandanos y vainilla",70 gramos,https://adagio.cl/products/blueberry-pancake,blueberry pancake,5990,relajante,sin-cafeina,,,,1,5,100 celsius,5-10 min
"2,5g/250ml",oolong,"el quinto signo, el signo de fuego y el mas dominante del zodiaco. simbolizado por un leon, las personas nacidas entre el 23 de julio y el 22 de agosto, se caracterizan por ser autonomas, resueltas, ambiciosas y con mucha seguridad en si mismas. les gusta correr riesgos y saben perfectamente a donde quieren llegar y como quieren hacerlo. cuidado con el mal genio y la arrogancia, esa excesiva creencia en si mismos y aires de seguridad les puede terminar jugando en contra. relajate leo junto a este exquisito te oolong combinado con rooibos, naranja y manzanilla. el leon tambien necesita descansar y relajarse de vez en cuando.*no disponible con codigos de descuentos. *exclusivo online","te oolong, rooibos, manzanilla, naranja, cartamo, sabor natural a vainilla y naranja.",57 gramos,https://adagio.cl/products/leo,leo,5990,antioxidante,,,,,1,5,100 celsius,3-5 min
"2,5g/250ml",rooibos,"en adagio teas quisimos representar la magia del eclipse. por eso creamos la variedad brightness, que representa al sol y la luz del dia. la mezcla de petalos de rosa, pina, coco, manzana, hibisco y rooibos te sorprenderan no solo por su sabor calido, frutal e intensamente aromatico sino tambien por sus beneficios antioxidantes, digestivos y relajantes. *no disponible con codigos de descuentos.*exlusivo online","rooibos, coco, trozos de manzana, trozos de pina, petalos de rosa, hibisco y sabor natural a coco y pina.",50 gramos,https://adagio.cl/products/brightness,brightness,5990,antioxidante,relajante,sin-cafeina,,,25,5,100 celsius,5-10 min
"2,5g/250ml",oolong,"te oolong proveniente de la provincia de fujian en china. destaca por sus hojas cosechadas a mano en mayo de arboles de mas de 20 anos. conocido localmente como 'dark tie kuan yin', pasa por un proceso de manufacturacion complejo en el que destaca la coccion suave y el doble tostado, a alrededor de 105 grados centigrados, a la que son sometidas sus hojas.",te oolong,43 gramos,https://adagio.cl/products/traditional-ti-kuan-yin,traditional ti kuan yin,19990,antioxidante,,,,,,,90 celsius,2-3 min
"2,5g/250ml",oolong,"el milk oolong es relativamente nuevo en el mundo de los tes de taiwan y es apreciado por sus notas naturales a vapor de leche. de propiedades depurativas y antioxidantes, las hojas ligeramente tostadas y enrrolladas, entregan una infusion de cuerpo ligero con una textura dulce y un delicado aroma floral. tambien llamado jin xuan o golden lily.",fino te oolong puro con notas naturales a leche.,85 gramos,https://adagio.cl/products/milk-oolong,milk oolong,19990,antioxidante,,,,,4,3.3,90 celsius,2-3 min
"2,5g/250ml",rooibos,"de nuestras infusiones mas populares, la mezcla de rooibos verde con cascara de naranja, y esencia de durazno y frutillas, es alto en antioxidantes y tambien es una excelente infusion digestiva, que ayuda a favorecer la eliminacion de grasas. su sabor frutal es ideal para disfrutar en cualquier momento del dia.","rooibos verde, cascara de naranja, flor de calendula, frutillas y esencias naturales de duraznos, frutilla y naranja.",85 gramos,https://adagio.cl/products/rooibos-verde-bonita,rooibos verde bonita,5990,relajante,sin-cafeina,,,,46,5,100 celsius,5 min
"2,5g/250ml",oolong,"nuestro formosa oolong es un te azul que viene de taiwan, isla anteriormente conocida como formosa (nombre dado por los exploradores portugueses de la isla y que significa 'hermoso'). rico en antioxidantes y con propiedades depurativas, este te de alta oxidacion posee notas a pasas y frutos maduros. de sabor dulce y persistente, y astringencia suave, refrescante y afrutada. este te si que es una excelente introduccion al te taiwanes.","te oolong puro, de alta oxidacion proveniente de taiwan.",57 gramos,https://adagio.cl/products/formosa-oolong,formosa oolong,5990,antioxidante,digestion,,,,4,5,100 celsius,3-5 min
"2,5g/250ml",oolong,"combinamos te oolong puro con almendra para un blend de sabor floral y frutal a la vez. de propiedades antioxidantes y con beneficios digestivos, este te junto al aroma a almendra, recuerda a un redondeado y dulce sabor a mazapan. una infusion que es el complemento perfecto para el postre.","te oolong, esencia natural a almendras.",57 gramos,https://adagio.cl/products/oolong-almendra,oolong almendra,5990,antioxidante,digestion,,,,6,5,100 celsius,3-5 min
"2,5g/250ml",oolong,"nuestro te oolong de pomelo es estimulante tanto por su aroma como su sabor. esta mezcla de te de taiwan con pomelo, es rica en antioxidantes, favorece la eliminacion de grasas y mejora la digestion. es una excelente eleccion en que necesite el estimulo de una infusion citrica y aromatica. una gran opcion para preparar tanto frio como caliente.","te oolong, cascara de naranja, flor de calendula y esencia natural de pomelo.",57 gramos,https://adagio.cl/products/oolong-pomelo,oolong pomelo,5990,antioxidante,digestion,,,,5,5,100 celsius,3-5 min
"2,5g/250ml",oolong,"combinamos te oolong puro con almendra para un blend de sabor floral y frutal a la vez. de propiedades antioxidantes y con beneficios digestivos, este te junto al aroma a almendra, recuerda a un redondeado y dulce sabor a mazapan. una infusion que es el complemento perfecto para el postre.","te oolong, esencia natural a almendras.",27 gramos,https://adagio.cl/products/oolong-almendra-medium,oolong almendra medium,3990,antioxidante,digestion,,,,,,100 celsius,3-5 min
,matcha,"el matcha, es el punto principal de la ceremonia de te japonesa, es un fino polvo que se hace pulverizando finas hojas de te verde. solo las hojas mas finas y tiernas, que crecen bajo la sombra (como el gyokuro) se utilizan para crear el matcha. las hojas son recolectadas y se dejan secar. las venas son removidas de las hojas y el te pasa a llamarse tencha. luego estas hojas son pulverizadas cuidadosamente en molinos de granito, convirtiendose en un preciado polvo. una forma facil de prepararlo es poniendo una cucharada de te de matcha por taza (o a gusto), agregar algunas gotas de agua caliente (70celsius) y revolver con un batidor hasta que se forme una pasta. poner el resto del agua, revolver y a disfrutar. origen: japon grado: ceremonial",matcha de japon y aceite esencial de cacao.,35 gramos,https://adagio.cl/products/matcha-chocolate,matcha cacao,9990,antioxidante,digestion,energizante,,,3,5,,
,matcha,"el matcha, es el punto principal de la ceremonia de te japonesa, es un fino polvo que se hace pulverizando finas hojas de te verde. solo las hojas mas finas y tiernas, que crecen bajo la sombra (como el gyokuro) se utilizan para crear el matcha. las hojas son recolectadas y se dejan secar. las venas son removidas de las hojas y el te pasa a llamarse tencha. luego estas hojas son pulverizadas cuidadosamente en molinos de granito, convirtiendose en un preciado polvo. una forma facil de prepararlo es poniendo una cucharada de te de matcha por taza (o a gusto), agregar algunas gotas de agua caliente (70celsius) y revolver con un batidor hasta que se forme una pasta. poner el resto del agua, revolver y a disfrutar. origen: japon grado: ceremonial",matcha de japon y aceite esencial de arandanos.,35 gramos,https://adagio.cl/products/matcha-arandano,matcha arandano,9990,antioxidante,digestion,energizante,,,3,5,,
,matcha,"el matcha, es el punto principal de la ceremonia de te japonesa, es un fino polvo que se hace pulverizando finas hojas de te verde. solo las hojas mas finas y tiernas, que crecen bajo la sombra (como el gyokuro) se utilizan para crear el matcha. las hojas son recolectadas y se dejan secar. las venas son removidas de las hojas y el te pasa a llamarse tencha. luego estas hojas son pulverizadas cuidadosamente en molinos de granito, convirtiendose en un preciado polvo. una forma facil de prepararlo es poniendo una cucharada de te de matcha por taza (o a gusto), agregar algunas gotas de agua caliente (70celsius) y revolver con un batidor hasta que se forme una pasta. poner el resto del agua, revolver y a disfrutar.origen: japongrado: ceremonial",matcha de japon y aceite esencial de durazno.,35 gramos,https://adagio.cl/products/matcha-durazno,matcha durazno,9990,antioxidante,digestion,energizante,,,10,5,,
,matcha,"el matcha, es el punto principal de la ceremonia de te japonesa, es un fino polvo que se hace pulverizando finas hojas de te verde. solo las hojas mas finas y tiernas, que crecen bajo la sombra (como el gyokuro) se utilizan para crear el matcha. las hojas son recolectadas y se dejan secar. las venas son removidas de las hojas y el te pasa a llamarse tencha. luego estas hojas son pulverizadas cuidadosamente en molinos de granito, convirtiendose en un preciado polvo. una forma facil de prepararlo es poniendo una cucharada de te de matcha por taza (o a gusto), agregar algunas gotas de agua caliente (70celsius) y revolver con un batidor hasta que se forme una pasta. poner el resto del agua, revolver y a disfrutar. origen: japon grado: ceremonial",matcha de japon y aceite esencial de frambuesa.,35 gramos,https://adagio.cl/products/matcha-frambuesa,matcha frambuesa,9990,antioxidante,digestion,energizante,,,3,5,,
,matcha,"el matcha, es el punto principal de la ceremonia de te japonesa, es un fino polvo que se hace pulverizando finas hojas de te verde. solo las hojas mas finas, tiernas, que crecieron bajo la sombra (como el gyokuro) se utilizan para crear el matcha. las hojas son recolectadas y se dejan secar. las venas son removidas de las hojas y el te pasa a llamarse tencha, estas hojas son pulverizadas cuidadosamente en molinos de granito, convirtiendose en un preciado polvo. este matcha es ideal para usarlo para cocinar y para batidos.origen: japon grado: culinario",matcha de japon.,70 gramos,https://adagio.cl/products/matcha-culinario-tarro,matcha culinario tarro,9990,,,,,,6,4.7,,
"2,5g/250ml",rojo,"uno de los tes mas populares! una combinacion de te pu erh con cascara de naranja y granos de cacao, posee propiedades digestivas, diureticas y proporciona relajo y bienestar. el fresco sabor a naranja, con la terrosidad del te pu erh y la calidez del cacao, entregan una mezcla alegre y sabrosa.","te rojo pu erh, cascara de naranja, granos de cacao, aciano azul y esencia natural de chocolate y naranja.",15 piramides,https://adagio.cl/products/pu-erh-naranja-chip-teabags,pu erh naranja chip teabags,Agotado,,,,,,,,100 celsius,5 min
"2,5g/250ml",rojo,"el te rojo pu erh destaca por su sabor terroso y suave con tonos amaderados. su alto contenido antioxidante, sumado a las propiedades digestivas y beneficios como ayudar a reducir grasas y regular el colesterol, lo convierten en una bebida muy saludable. este te, es anejado, las hojas de te son sometidas a un proceso natural de fermentacion antes de un secado suave. esto crea un te de cuerpo profundo e intenso. el te pu erh es suave y muy refrescante. nuestro te pu erh dante presenta un aroma limpio, con cierta dulzura de higos o datiles. el te pu erh es extremadamente versatil, no se pondra amargo y es una excelente opcion para preparar multiples infusiones.","te rojo proveniente de puerh, yunnan, china",85 gramos,https://adagio.cl/products/pu-erh-dante,pu erh dante,Agotado,digestion,,,,,4,4.8,100 celsius,3-5 min
"2,5g/250ml",oolong,"este te oolong ha sido preparado con los tes oolongs mas oscuros y oxidados de taiwan. junto con manzana, damasco, calendula y esencia natural de durazno. aparte de ser rico en antioxidantes, es depurativo, antiinflamatorio y ayuda a mejorar la digestion. con suaves notas de miel, presenta una delicada astringencia y un persistente aroma floral y frutal. una mezcla fresca y cautivante.","te oolong, trozos de manzana y damascos, flor de calendula y esencia natural de durazno.",57 gramos,https://adagio.cl/products/oolong-durazno,oolong durazno,5990,digestion,,,,,12,5,100 celsius,3-5 min
"2,5g/250ml",rojo,"ideal para preparar en una tetera y compartir, estas bolitas son hojas de pu erh estilo shou (fermentacion acelerada), comprimidas, fermentadas y anejadas por cinco anos. conservan todas las propiedades antioxidantes y digestivas de este tipo de te, tambien ayudan a eliminar grasas y reducir el colesterol malo. de sabor terroso y delicado, estas perlas son muy buenas para una segunda infusion.","te rojo anejado 5 anos de puerh, yunnan, china.",85 gramos,https://adagio.cl/products/pu-erh-pearls,pu erh pearls,Agotado,antioxidante,digestion,,,,1,5,100 celsius,5 min
